idProduct,idCategory,avg,low,trend,avg1,avg7,avg30
773892,1611,0.05,0.02,0.08,0.1,0.06,0.07
773893,1611,0.78,0.1,0.73,0.5,0.67,0.81
773894,1611,0.14,0.02,0.14,0.09,0.14,0.16
773895,1611,0.1,0.02,0.11,0.02,0.07,0.15
773896,1611,0.18,0.02,0.12,0.22,0.17,0.16
774444,1611,0.05,0.02,0.03,0.02,0.05,0.07
774445,1611,0.09,0.02,0.17,0.15,0.1,0.13
774446,1611,0.42,0.02,0.24,0.28,0.27,0.43
774447,1611,0.08,0.02,0.05,0.07,0.08,0.07
774448,1611,0.16,0.02,0.13,0.05,0.13,0.11
774449,1611,0.38,0.02,0.27,0.17,0.34,0.21
774450,1611,0.03,0.02,0.04,0.02,0.03,0.06
774451,1611,0.06,0.02,0.07,0.03,0.06,0.09
774452,1611,0.05,0.02,0.04,0.02,0.04,0.05
774453,1611,27.18,24.49,29.38,30.0,25.92,26.05
774454,1611,0.07,0.02,0.08,0.05,0.07,0.11
774455,1611,0.04,0.02,0.05,0.08,0.05,0.07
774456,1611,0.08,0.02,0.07,0.09,0.09,0.07
774457,1611,0.08,0.02,0.1,0.25,0.11,0.13
774458,1611,7.0,4.99,8.31,7.9,8.94,8.98
774502,1611,13.63,13.0,13.01,14.5,12.61,14.27
774503,1611,0.25,0.02,0.23,0.2,0.25,0.25
774504,1611,0.12,0.02,0.15,0.17,0.14,0.14
774505,1611,1.16,0.5,1.14,0.5,1.61,2.15
774506,1611,0.07,0.02,0.08,0.05,0.07,0.09
774507,1611,0.07,0.02,0.06,0.05,0.07,0.09
774508,1611,0.15,0.02,0.24,0.1,0.21,0.19
774509,1611,0.11,0.02,0.13,0.1,0.11,0.11
774510,1611,8.73,5.8,6.81,7.0,6.79,9.38
774511,1611,0.03,0.02,0.06,0.02,0.06,0.05
774512,1611,0.1,0.02,0.09,0.23,0.12,0.11
774513,1611,0.14,0.02,0.08,0.07,0.11,0.1
774514,1611,0.15,0.02,0.16,0.07,0.12,0.13
774515,1611,0.15,0.02,0.18,0.05,0.15,0.13
774516,1611,44.81,42.0,48.2,60.0,53.32,39.97
774517,1611,9.52,8.5,6.91,8.75,9.66,12.34
775300,1611,0.07,0.02,0.09,0.05,0.1,0.09
775302,1611,0.02,0.02,0.1,0.48,0.13,0.09
775305,1611,0.05,0.02,0.08,0.04,0.06,0.08
775307,1611,0.06,0.02,0.08,0.1,0.06,0.08
775310,1611,0.04,0.02,0.05,0.02,0.04,0.07
775312,1611,0.04,0.02,0.05,0.02,0.03,0.08
775318,1611,0.22,0.02,0.21,0.36,0.23,0.23
775321,1611,4.55,4.99,5.28,3.0,4.73,6.26
775322,1611,9.98,8.0,9.78,9.98,10.66,10.01
775323,1611,100.0,130.0,96.68,100.0,119.89,129.64
775325,1611,0.04,0.02,0.07,0.24,0.12,0.08
775327,1611,0.1,0.02,0.12,0.03,0.18,0.13
775328,1611,0.91,0.1,0.84,0.48,0.84,0.87
775329,1611,1.0,1.0,1.88,4.12,1.6,1.51
775331,1611,2.21,2.0,2.2,2.5,2.61,3.3
775332,1611,22.32,15.0,19.63,25.99,21.27,19.16
775334,1611,0.14,0.02,0.08,0.37,0.12,0.06
775336,1611,0.04,0.02,0.1,0.48,0.12,0.06
775337,1611,0.08,0.02,0.17,0.37,0.17,0.09
775338,1611,0.06,0.02,0.13,0.48,0.13,0.09
775339,1611,4.1,3.5,4.04,4.0,4.47,6.39
775341,1611,67.01,69.69,43.72,64.98,65.14,78.32
775343,1611,4.36,2.6,3.74,3.99,4.21,4.68
775344,1611,75.0,119.99,60.08,75.0,67.85,76.65
775347,1611,29.69,22.0,26.14,28.99,25.32,25.19
775348,1611,225.0,,253.09,200.0,262.7,249.41
775350,1611,18.5,15.0,28.47,19.0,23.79,12.97
775352,1611,4.21,1.0,3.7,2.0,3.5,1.92
775353,1611,7.0,6.9,8.02,7.0,7.26,5.62
775354,1611,19.5,17.0,22.96,15.0,23.81,30.95
775356,1611,205.0,,182.78,250.0,171.88,143.2
775357,1611,0.06,0.02,0.05,0.05,0.1,0.07
775359,1611,0.33,0.02,0.25,0.02,0.28,0.23
775360,1611,0.09,0.02,0.1,0.1,0.06,0.09
775362,1611,0.08,0.02,0.08,0.05,0.09,0.07
775363,1611,0.03,0.02,0.04,0.02,0.04,0.06
775364,1611,0.06,0.02,0.07,0.07,0.1,0.12
775365,1611,0.04,0.02,0.07,0.02,0.05,0.07
775366,1611,15.19,13.0,15.79,15.48,15.51,15.6
775367,1611,19.99,19.99,28.53,19.99,27.63,24.22
775368,1611,0.32,0.02,0.2,0.02,0.32,0.25
775369,1611,60.87,50.0,58.96,61.59,54.39,45.06
775370,1611,35.5,27.0,31.99,36.78,34.52,34.99
775371,1611,29.75,24.0,25.58,25.0,27.19,28.38
775372,1611,8.37,8.0,8.29,8.0,8.74,9.62
775373,1611,4.99,4.4,5.16,4.99,5.18,6.45
775374,1611,4.9,4.5,6.83,13.0,6.18,5.84
775375,1611,3.87,3.25,3.79,3.75,4.02,4.84
775376,1611,4.0,3.5,4.2,4.5,3.98,4.48
775378,1611,5.38,4.99,5.46,5.0,5.43,5.78
775383,1611,0.14,0.02,0.2,0.02,0.27,0.2
775384,1611,0.07,0.02,0.13,0.48,0.13,0.07
775385,1611,0.18,0.02,0.25,0.99,0.26,0.28
775387,1611,12.8,10.0,12.34,12.0,14.0,14.57
775388,1611,289.99,300.0,222.38,289.99,258.56,303.76
775391,1611,63.12,77.0,64.47,78.99,64.94,66.75
775411,1611,0.23,0.05,0.2,0.5,0.36,0.46
775412,1611,0.7,0.1,0.46,0.7,0.6,0.47
